Partido,Localidad,link Indec,Velocidad (Mbps),Provincia,Accesos
25 de Mayo,25 de Mayo,6854100,0.0,BUENOS AIRES,1.0
25 de Mayo,25 de Mayo,6854100,0.5,BUENOS AIRES,2.0
25 de Mayo,25 de Mayo,6854100,0.75,BUENOS AIRES,19.0
25 de Mayo,25 de Mayo,6854100,3.0,BUENOS AIRES,85.0
25 de Mayo,25 de Mayo,6854100,3.5,BUENOS AIRES,145.0
25 de Mayo,25 de Mayo,6854100,6.0,BUENOS AIRES,76.0
25 de Mayo,25 de Mayo,6854100,8.0,BUENOS AIRES,299.0
25 de Mayo,25 de Mayo,6854100,10.0,BUENOS AIRES,288.0
25 de Mayo,25 de Mayo,6854100,15.0,BUENOS AIRES,415.0
25 de Mayo,25 de Mayo,6854100,20.0,BUENOS AIRES,1796.0
25 de Mayo,25 de Mayo,6854100,25.0,BUENOS AIRES,144.0
25 de Mayo,25 de Mayo,6854100,30.0,BUENOS AIRES,1501.0
25 de Mayo,25 de Mayo,6854100,40.0,BUENOS AIRES,27.0
25 de Mayo,25 de Mayo,6854100,50.0,BUENOS AIRES,647.0
25 de Mayo,25 de Mayo,6854100,80.0,BUENOS AIRES,9.0
25 de Mayo,25 de Mayo,6854100,100.0,BUENOS AIRES,693.0
25 de Mayo,25 de Mayo,6854100,300.0,BUENOS AIRES,95.0
25 de Mayo,25 de Mayo,6854100,500.0,BUENOS AIRES,3.0
25 de Mayo,Agustín Mosconi,6854010,10.0,BUENOS AIRES,59.0
25 de Mayo,Agustín Mosconi,6854010,20.0,BUENOS AIRES,5.0
25 de Mayo,Del Valle,6854020,0.5,BUENOS AIRES,1.0
25 de Mayo,Del Valle,6854020,3.0,BUENOS AIRES,181.0
25 de Mayo,Del Valle,6854020,10.0,BUENOS AIRES,10.0
25 de Mayo,Ernestina,6854030,5.0,BUENOS AIRES,75.0
25 de Mayo,Gobernador Ugarte,6854040,2.0,BUENOS AIRES,106.0
25 de Mayo,Gobernador Ugarte,6854040,3.0,BUENOS AIRES,3.0
25 de Mayo,Gobernador Ugarte,6854040,4.0,BUENOS AIRES,56.0
25 de Mayo,Gobernador Ugarte,6854040,5.0,BUENOS AIRES,7.0
25 de Mayo,Gobernador Ugarte,6854040,6.0,BUENOS AIRES,3.0
25 de Mayo,Gobernador Ugarte,6854040,8.0,BUENOS AIRES,4.0
25 de Mayo,Gobernador Ugarte,6854040,10.0,BUENOS AIRES,1.0
25 de Mayo,Gobernador Ugarte,6854040,65.0,BUENOS AIRES,1.0
25 de Mayo,Lucas Monteverde,6854050,3.0,BUENOS AIRES,5.0
25 de Mayo,Norberto de la Riestra,6854060,2.0,BUENOS AIRES,174.0
25 de Mayo,Norberto de la Riestra,6854060,3.0,BUENOS AIRES,32.0
25 de Mayo,Norberto de la Riestra,6854060,4.0,BUENOS AIRES,9.0
25 de Mayo,Norberto de la Riestra,6854060,5.0,BUENOS AIRES,8.0
25 de Mayo,Norberto de la Riestra,6854060,6.0,BUENOS AIRES,914.0
25 de Mayo,Norberto de la Riestra,6854060,10.0,BUENOS AIRES,2.0
25 de Mayo,Norberto de la Riestra,6854060,15.0,BUENOS AIRES,322.0
25 de Mayo,Norberto de la Riestra,6854060,25.0,BUENOS AIRES,29.0
25 de Mayo,Norberto de la Riestra,6854060,50.0,BUENOS AIRES,20.0
25 de Mayo,Pedernales,6854070,6.0,BUENOS AIRES,2.0
25 de Mayo,Pedernales,6854070,10.0,BUENOS AIRES,177.0
25 de Mayo,Pedernales,6854070,15.0,BUENOS AIRES,3.0
25 de Mayo,Pedernales,6854070,50.0,BUENOS AIRES,25.0
25 de Mayo,San Enrique,6854080,20.0,BUENOS AIRES,11.0
25 de Mayo,Valdés,6854090,10.0,BUENOS AIRES,245.0
25 de Mayo,Valdés,6854090,20.0,BUENOS AIRES,18.0
9 de Julio,12 de Octubre,6588030,3.0,BUENOS AIRES,11.0
9 de Julio,9 de Julio,6588100,0.75,BUENOS AIRES,9.0
9 de Julio,9 de Julio,6588100,3.0,BUENOS AIRES,198.0
9 de Julio,9 de Julio,6588100,3.5,BUENOS AIRES,114.0
9 de Julio,9 de Julio,6588100,5.0,BUENOS AIRES,154.0
9 de Julio,9 de Julio,6588100,6.0,BUENOS AIRES,4824.0
9 de Julio,9 de Julio,6588100,7.0,BUENOS AIRES,235.0
9 de Julio,9 de Julio,6588100,8.0,BUENOS AIRES,98.0
9 de Julio,9 de Julio,6588100,10.0,BUENOS AIRES,2669.0
9 de Julio,9 de Julio,6588100,15.0,BUENOS AIRES,1239.0
9 de Julio,9 de Julio,6588100,20.0,BUENOS AIRES,1144.0
9 de Julio,9 de Julio,6588100,30.0,BUENOS AIRES,362.0
9 de Julio,9 de Julio,6588100,50.0,BUENOS AIRES,631.0
9 de Julio,9 de Julio,6588100,100.0,BUENOS AIRES,1843.0
9 de Julio,9 de Julio,6588100,300.0,BUENOS AIRES,1068.0
9 de Julio,9 de Julio,6588100,500.0,BUENOS AIRES,33.0
9 de Julio,9 de Julio,6588100,1000.0,BUENOS AIRES,14.0
9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,3.0,BUENOS AIRES,510.0
9 de Julio,Dudignac,6588040,1.0,BUENOS AIRES,8.0
9 de Julio,Dudignac,6588040,3.0,BUENOS AIRES,36.0
9 de Julio,Dudignac,6588040,4.0,BUENOS AIRES,247.0
9 de Julio,Dudignac,6588040,6.0,BUENOS AIRES,46.0
9 de Julio,Dudignac,6588040,10.0,BUENOS AIRES,52.0
9 de Julio,Manuel B. Gonnet  (Est. French),6588060,1.0,BUENOS AIRES,1.0
9 de Julio,Manuel B. Gonnet  (Est. French),6588060,2.0,BUENOS AIRES,193.0
9 de Julio,Manuel B. Gonnet  (Est. French),6588060,6.0,BUENOS AIRES,1.0
9 de Julio,Manuel B. Gonnet  (Est. French),6588060,10.0,BUENOS AIRES,2.0
9 de Julio,Morea,6588080,3.0,BUENOS AIRES,130.0
9 de Julio,Patricios,6588110,3.0,BUENOS AIRES,50.0
9 de Julio,Patricios,6588110,6.0,BUENOS AIRES,16.0
9 de Julio,Patricios,6588110,10.0,BUENOS AIRES,44.0
9 de Julio,Patricios,6588110,15.0,BUENOS AIRES,21.0
9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,3.0,BUENOS AIRES,42.0
9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,6.0,BUENOS AIRES,6.0
9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,10.0,BUENOS AIRES,37.0
