Año,Trimestre,Provincia,Velocidad,Accesos,Velocidad_bins
2024,2,BUENOS AIRES,75.0,1062,"(70, 80]"
2024,2,BUENOS AIRES,59.0,59,"(50, 60]"
2024,2,BUENOS AIRES,,5,
2024,2,BUENOS AIRES,3.5,41735,"(0, 10]"
2024,2,BUENOS AIRES,18.0,1042,"(10, 20]"
2024,2,BUENOS AIRES,9.0,750,"(0, 10]"
2024,2,BUENOS AIRES,17.0,2,"(10, 20]"
2024,2,BUENOS AIRES,8.0,63727,"(0, 10]"
2024,2,BUENOS AIRES,105.0,14,"(100, 110]"
2024,2,BUENOS AIRES,,137199,
2024,2,BUENOS AIRES,24.0,84,"(20, 30]"
2024,2,BUENOS AIRES,85.0,16,"(80, 90]"
2024,2,BUENOS AIRES,32.0,16,"(30, 40]"
2024,2,BUENOS AIRES,55.0,255,"(50, 60]"
2024,2,BUENOS AIRES,31.0,1611,"(30, 40]"
2024,2,BUENOS AIRES,120.0,510,"(110, 120]"
2024,2,BUENOS AIRES,4.5,83,"(0, 10]"
2024,2,BUENOS AIRES,23.0,20,"(20, 30]"
2024,2,BUENOS AIRES,70.0,7236,"(60, 70]"
2024,2,BUENOS AIRES,22.0,1,"(20, 30]"
2024,2,BUENOS AIRES,,15,
2024,2,BUENOS AIRES,0.256,25,"(0, 10]"
2024,2,BUENOS AIRES,35.0,1399,"(30, 40]"
2024,2,BUENOS AIRES,205.0,3,"(200, 210]"
2024,2,BUENOS AIRES,4.0,13200,"(0, 10]"
2024,2,BUENOS AIRES,11.0,10,"(10, 20]"
2024,2,BUENOS AIRES,155.0,28,"(150, 160]"
2024,2,BUENOS AIRES,21.0,2,"(20, 30]"
2024,2,BUENOS AIRES,2.0,19065,"(0, 10]"
2024,2,BUENOS AIRES,,663,
2024,2,BUENOS AIRES,65.0,90,"(60, 70]"
2024,2,BUENOS AIRES,125.0,2,"(120, 130]"
2024,2,BUENOS AIRES,10.0,145894,"(0, 10]"
2024,2,BUENOS AIRES,,26,
2024,2,BUENOS AIRES,212.0,1,"(210, 220]"
2024,2,BUENOS AIRES,2.5,21,"(0, 10]"
2024,2,BUENOS AIRES,13.0,238,"(10, 20]"
2024,2,BUENOS AIRES,41.0,9,"(40, 50]"
2024,2,BUENOS AIRES,,41,
2024,2,BUENOS AIRES,7.5,53,"(0, 10]"
2024,2,BUENOS AIRES,,355,
2024,2,BUENOS AIRES,40.0,5582,"(30, 40]"
2024,2,BUENOS AIRES,61.0,78,"(60, 70]"
2024,2,BUENOS AIRES,200.0,8055,"(190, 200]"
2024,2,BUENOS AIRES,102.0,2,"(100, 110]"
2024,2,BUENOS AIRES,60.0,37539,"(50, 60]"
2024,2,BUENOS AIRES,,27,
2024,2,BUENOS AIRES,12.0,19838,"(10, 20]"
2024,2,BUENOS AIRES,30.0,782519,"(20, 30]"
2024,2,BUENOS AIRES,6.0,76832,"(0, 10]"
2024,2,BUENOS AIRES,,16300,
2024,2,BUENOS AIRES,25.0,42739,"(20, 30]"
2024,2,BUENOS AIRES,0.0,125547,
2024,2,BUENOS AIRES,80.0,9358,"(70, 80]"
2024,2,BUENOS AIRES,90.0,3,"(80, 90]"
2024,2,BUENOS AIRES,50.0,493790,"(40, 50]"
2024,2,BUENOS AIRES,5.0,27135,"(0, 10]"
2024,2,BUENOS AIRES,48.0,659,"(40, 50]"
2024,2,BUENOS AIRES,240.0,938,
2024,2,BUENOS AIRES,16.0,231,"(10, 20]"
2024,2,BUENOS AIRES,,129855,
2024,2,BUENOS AIRES,51.0,1,"(50, 60]"
2024,2,BUENOS AIRES,160.0,1306,"(150, 160]"
2024,2,BUENOS AIRES,,564,
2024,2,BUENOS AIRES,15.0,94642,"(10, 20]"
2024,2,BUENOS AIRES,49.0,1,"(40, 50]"
2024,2,BUENOS AIRES,,1147130,
2024,2,BUENOS AIRES,1.5,141,"(0, 10]"
2024,2,BUENOS AIRES,150.0,388059,"(140, 150]"
2024,2,BUENOS AIRES,14.0,149,"(10, 20]"
2024,2,BUENOS AIRES,1.0,18423,"(0, 10]"
2024,2,BUENOS AIRES,0.5,25048,"(0, 10]"
2024,2,BUENOS AIRES,0.512,214,"(0, 10]"
2024,2,BUENOS AIRES,20.0,128376,"(10, 20]"
2024,2,BUENOS AIRES,100.0,910372,"(90, 100]"
2024,2,BUENOS AIRES,0.75,4611,"(0, 10]"
2024,2,BUENOS AIRES,7.0,11236,"(0, 10]"
2024,2,BUENOS AIRES,36.0,4,"(30, 40]"
2024,2,BUENOS AIRES,,1094,
2024,2,BUENOS AIRES,3.0,44415,"(0, 10]"
2024,2,CABA,160.0,5,"(150, 160]"
2024,2,CABA,7.0,7,"(0, 10]"
2024,2,CABA,150.0,116134,"(140, 150]"
2024,2,CABA,,25,
2024,2,CABA,9.0,3,"(0, 10]"
2024,2,CABA,110.0,1,"(100, 110]"
2024,2,CABA,,65689,
2024,2,CABA,16.0,5,"(10, 20]"
2024,2,CABA,,3,
2024,2,CABA,10.0,23421,"(0, 10]"
2024,2,CABA,1.0,2815,"(0, 10]"
2024,2,CABA,3.5,11975,"(0, 10]"
2024,2,CABA,125.0,3,"(120, 130]"
2024,2,CABA,21.0,1,"(20, 30]"
2024,2,CABA,0.512,35,"(0, 10]"
2024,2,CABA,40.0,238,"(30, 40]"
2024,2,CABA,,1442,
2024,2,CABA,12.0,93,"(10, 20]"
2024,2,CABA,55.0,1,"(50, 60]"
2024,2,CABA,100.0,396858,"(90, 100]"
2024,2,CABA,4.0,996,"(0, 10]"
2024,2,CABA,25.0,269,"(20, 30]"
2024,2,CABA,0.75,1307,"(0, 10]"
