Provincia,Partido,Localidad,Tecnologia,Link Indec,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,ADSL,6854100,1062
BUENOS AIRES,25 de Mayo,25 de Mayo,CABLEMODEM,6854100,59
BUENOS AIRES,25 de Mayo,25 de Mayo,FIBRA OPTICA,6854100,5
BUENOS AIRES,25 de Mayo,25 de Mayo,SATELITAL,6854100,41735
BUENOS AIRES,25 de Mayo,25 de Mayo,WIRELESS,6854100,1042
BUENOS AIRES,25 de Mayo,Del Valle,ADSL,6854020,750
BUENOS AIRES,25 de Mayo,Del Valle,Otros,6854020,2
BUENOS AIRES,25 de Mayo,Del Valle,SATELITAL,6854020,63727
BUENOS AIRES,25 de Mayo,Ernestina,ADSL,6854030,14
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,WIRELESS,6854040,137199
BUENOS AIRES,25 de Mayo,Lucas Monteverde,WIRELESS,6854050,84
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,CABLEMODEM,6854060,16
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,FIBRA OPTICA,6854060,16
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,Otros,6854060,255
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,WIRELESS,6854060,1611
BUENOS AIRES,25 de Mayo,Pedernales,ADSL,6854070,510
BUENOS AIRES,25 de Mayo,Pedernales,FIBRA OPTICA,6854070,83
BUENOS AIRES,25 de Mayo,Pedernales,Otros,6854070,20
BUENOS AIRES,25 de Mayo,Pedernales,WIRELESS,6854070,7236
BUENOS AIRES,9 de Julio,12 de Octubre,WIRELESS,6588030,1
BUENOS AIRES,9 de Julio,9 de Julio,ADSL,6588100,15
BUENOS AIRES,9 de Julio,9 de Julio,CABLEMODEM,6588100,25
BUENOS AIRES,9 de Julio,9 de Julio,DIAL UP,6588100,1399
BUENOS AIRES,9 de Julio,9 de Julio,FIBRA OPTICA,6588100,3
BUENOS AIRES,9 de Julio,9 de Julio,WIRELESS,6588100,13200
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),ADSL,6588010,10
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),Otros,6588010,28
BUENOS AIRES,9 de Julio,Dudignac,WIRELESS,6588040,2
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),ADSL,6588060,19065
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),FIBRA OPTICA,6588060,663
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),Otros,6588060,90
BUENOS AIRES,9 de Julio,Morea,WIRELESS,6588080,2
BUENOS AIRES,9 de Julio,Patricios,ADSL,6588110,145894
BUENOS AIRES,9 de Julio,Patricios,WIRELESS,6588110,26
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),FIBRA OPTICA,6588120,1
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),WIRELESS,6588120,21
BUENOS AIRES,Adolfo Alsina,Carhué,ADSL,6007010,238
BUENOS AIRES,Adolfo Alsina,Carhué,DIAL UP,6007010,9
BUENOS AIRES,Adolfo Alsina,Carhué,FIBRA OPTICA,6007010,41
BUENOS AIRES,Adolfo Alsina,Carhué,Otros,6007010,53
BUENOS AIRES,Adolfo Alsina,Carhué,WIRELESS,6007010,355
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,FIBRA OPTICA,6007020,5582
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,FIBRA OPTICA,6007050,78
BUENOS AIRES,Adolfo Alsina,Maza,FIBRA OPTICA,6007070,8055
BUENOS AIRES,Adolfo Alsina,Maza,SATELITAL,6007070,2
BUENOS AIRES,Adolfo Alsina,Maza,WIRELESS,6007070,37539
BUENOS AIRES,Adolfo Alsina,Rivera,FIBRA OPTICA,6007080,27
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),ADSL,6014010,19838
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),DIAL UP,6014010,782519
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),FIBRA OPTICA,6014010,76832
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),WIRELESS,6014010,16300
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,FIBRA OPTICA,6014020,42739
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,Otros,6014020,125547
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,WIRELESS,6014020,9358
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,WIRELESS,6014030,3
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,WIRELESS,6014040,493790
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),ADSL,6021010,27135
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),DIAL UP,6021010,659
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),FIBRA OPTICA,6021010,938
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),WIRELESS,6021010,231
BUENOS AIRES,Alberti,Coronel Seguí,WIRELESS,6021020,129855
BUENOS AIRES,Alberti,Mechita,ADSL,6021030,1
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),WIRELESS,6021070,1306
BUENOS AIRES,Almirante Brown,Adrogué,ADSL,6028010,564
BUENOS AIRES,Almirante Brown,Adrogué,CABLEMODEM,6028010,94642
BUENOS AIRES,Almirante Brown,Adrogué,DIAL UP,6028010,1
BUENOS AIRES,Almirante Brown,Adrogué,FIBRA OPTICA,6028010,1147130
BUENOS AIRES,Almirante Brown,Adrogué,Otros,6028010,141
BUENOS AIRES,Almirante Brown,Adrogué,SATELITAL,6028010,388059
BUENOS AIRES,Almirante Brown,Adrogué,WIRELESS,6028010,149
BUENOS AIRES,Almirante Brown,Burzaco,ADSL,6028010,18423
BUENOS AIRES,Almirante Brown,Burzaco,CABLEMODEM,6028010,25048
BUENOS AIRES,Almirante Brown,Burzaco,DIAL UP,6028010,214
BUENOS AIRES,Almirante Brown,Burzaco,FIBRA OPTICA,6028010,128376
BUENOS AIRES,Almirante Brown,Burzaco,Otros,6028010,910372
BUENOS AIRES,Almirante Brown,Burzaco,SATELITAL,6028010,4611
BUENOS AIRES,Almirante Brown,Burzaco,WIRELESS,6028010,11236
BUENOS AIRES,Almirante Brown,Claypole,ADSL,6028010,4
BUENOS AIRES,Almirante Brown,Claypole,CABLEMODEM,6028010,1094
BUENOS AIRES,Almirante Brown,Claypole,DIAL UP,6028010,44415
BUENOS AIRES,Almirante Brown,Claypole,FIBRA OPTICA,6028010,5
BUENOS AIRES,Almirante Brown,Claypole,Otros,6028010,7
BUENOS AIRES,Almirante Brown,Claypole,WIRELESS,6028010,116134
BUENOS AIRES,Almirante Brown,Don Orione,CABLEMODEM,6028010,25
BUENOS AIRES,Almirante Brown,Don Orione,WIRELESS,6028010,3
BUENOS AIRES,Almirante Brown,Glew,ADSL,6028010,1
BUENOS AIRES,Almirante Brown,Glew,CABLEMODEM,6028010,65689
BUENOS AIRES,Almirante Brown,Glew,DIAL UP,6028010,5
BUENOS AIRES,Almirante Brown,Glew,FIBRA OPTICA,6028010,3
BUENOS AIRES,Almirante Brown,Glew,Otros,6028010,23421
BUENOS AIRES,Almirante Brown,Glew,WIRELESS,6028010,2815
BUENOS AIRES,Almirante Brown,Jose Mármol,CABLEMODEM,6028010,11975
BUENOS AIRES,Almirante Brown,Jose Mármol,DIAL UP,6028010,3
BUENOS AIRES,Almirante Brown,Jose Mármol,FIBRA OPTICA,6028010,1
BUENOS AIRES,Almirante Brown,Jose Mármol,Otros,6028010,35
BUENOS AIRES,Almirante Brown,Jose Mármol,WIRELESS,6028010,238
BUENOS AIRES,Almirante Brown,Longchamps,ADSL,6028010,1442
BUENOS AIRES,Almirante Brown,Longchamps,CABLEMODEM,6028010,93
BUENOS AIRES,Almirante Brown,Longchamps,DIAL UP,6028010,1
BUENOS AIRES,Almirante Brown,Longchamps,FIBRA OPTICA,6028010,396858
BUENOS AIRES,Almirante Brown,Longchamps,Otros,6028010,996
BUENOS AIRES,Almirante Brown,Longchamps,WIRELESS,6028010,269
