Año,Trimestre,Accesos por cada 100 hogares,Accesos por cada 100 hab
2024,2,78.13,24.57
2024,1,78.89,24.79
2023,4,78.56,24.66
2023,3,77.84,24.41
2023,2,77.02,24.14
2023,1,77.2,24.17
2022,4,77.21,24.15
2022,3,76.64,23.95
2022,2,75.9654243719137,23.7204423164287
2022,1,73.8788028445262,23.0491710386977
2021,4,73.1763965281478,22.810702052175
2021,3,70.5788534144302,21.9825500827064
2021,2,69.2401826919972,21.5479389275921
2021,1,67.9458763888521,21.1278318121601
2020,4,67.6223386615562,21.0101917482845
2020,3,66.31,20.59
2020,2,64.2100028766699,19.918402765295
2020,1,62.8563611135937,19.4832647686156
2019,4,62.9199118209147,19.4879000871297
2019,3,65.7879845391111,20.3606607185568
2019,2,64.53,19.96
2019,1,62.4791661097718,19.3079067412299
2018,4,61.4158072343577,18.97
2018,3,60.69,18.73
2018,2,59.1620687879326,18.24
2018,1,58.82,18.12
2017,4,57.7823509631833,17.7929770681446
2017,3,56.8992214122315,17.5090322340829
2017,2,54.9011906598371,16.8829367167329
2017,1,54.1621158241475,16.6445653587914
2016,4,53.9360186642862,16.5640000309732
2016,3,53.7341862288777,16.5046756740027
2016,2,53.3422011526116,16.3713514993317
2016,1,51.845451696958,15.9018018688339
2015,4,52.6308875044894,16.1226969462781
2015,3,52.4591062215395,16.0502891476947
2015,2,51.7602660815406,15.8172335655737
2015,1,51.3645863622347,15.6772340033791
2014,4,50.4997884742653,15.3946769684574
2014,3,50.6723681347231,15.4287688044283
2014,2,49.8614284376576,15.1639080079061
2014,1,49.545821345017,15.0501038728932
