Año,Trimestre,Provincia,Velocidad,Accesos,Velocidad_bins
2024,2,BUENOS AIRES,75.0,1062,"(0, 400]"
2024,2,BUENOS AIRES,59.0,59,"(0, 400]"
2024,2,BUENOS AIRES,480.0,5,"(400, 800]"
2024,2,BUENOS AIRES,3.5,41735,"(0, 400]"
2024,2,BUENOS AIRES,18.0,1042,"(0, 400]"
2024,2,BUENOS AIRES,9.0,750,"(0, 400]"
2024,2,BUENOS AIRES,17.0,2,"(0, 400]"
2024,2,BUENOS AIRES,8.0,63727,"(0, 400]"
2024,2,BUENOS AIRES,105.0,14,"(0, 400]"
2024,2,BUENOS AIRES,500.0,137199,"(400, 800]"
2024,2,BUENOS AIRES,24.0,84,"(0, 400]"
2024,2,BUENOS AIRES,85.0,16,"(0, 400]"
2024,2,BUENOS AIRES,32.0,16,"(0, 400]"
2024,2,BUENOS AIRES,55.0,255,"(0, 400]"
2024,2,BUENOS AIRES,31.0,1611,"(0, 400]"
2024,2,BUENOS AIRES,120.0,510,"(0, 400]"
2024,2,BUENOS AIRES,4.5,83,"(0, 400]"
2024,2,BUENOS AIRES,23.0,20,"(0, 400]"
2024,2,BUENOS AIRES,70.0,7236,"(0, 400]"
2024,2,BUENOS AIRES,22.0,1,"(0, 400]"
2024,2,BUENOS AIRES,256.0,15,"(0, 400]"
2024,2,BUENOS AIRES,0.256,25,"(0, 400]"
2024,2,BUENOS AIRES,35.0,1399,"(0, 400]"
2024,2,BUENOS AIRES,205.0,3,"(0, 400]"
2024,2,BUENOS AIRES,4.0,13200,"(0, 400]"
2024,2,BUENOS AIRES,11.0,10,"(0, 400]"
2024,2,BUENOS AIRES,155.0,28,"(0, 400]"
2024,2,BUENOS AIRES,21.0,2,"(0, 400]"
2024,2,BUENOS AIRES,2.0,19065,"(0, 400]"
2024,2,BUENOS AIRES,512.0,663,"(400, 800]"
2024,2,BUENOS AIRES,65.0,90,"(0, 400]"
2024,2,BUENOS AIRES,125.0,2,"(0, 400]"
2024,2,BUENOS AIRES,10.0,145894,"(0, 400]"
2024,2,BUENOS AIRES,999.0,26,"(800, 1200]"
2024,2,BUENOS AIRES,212.0,1,"(0, 400]"
2024,2,BUENOS AIRES,2.5,21,"(0, 400]"
2024,2,BUENOS AIRES,13.0,238,"(0, 400]"
2024,2,BUENOS AIRES,41.0,9,"(0, 400]"
2024,2,BUENOS AIRES,246.0,41,"(0, 400]"
2024,2,BUENOS AIRES,7.5,53,"(0, 400]"
2024,2,BUENOS AIRES,250.0,355,"(0, 400]"
2024,2,BUENOS AIRES,40.0,5582,"(0, 400]"
2024,2,BUENOS AIRES,61.0,78,"(0, 400]"
2024,2,BUENOS AIRES,200.0,8055,"(0, 400]"
2024,2,BUENOS AIRES,102.0,2,"(0, 400]"
2024,2,BUENOS AIRES,60.0,37539,"(0, 400]"
2024,2,BUENOS AIRES,320.0,27,"(0, 400]"
2024,2,BUENOS AIRES,12.0,19838,"(0, 400]"
2024,2,BUENOS AIRES,30.0,782519,"(0, 400]"
2024,2,BUENOS AIRES,6.0,76832,"(0, 400]"
2024,2,BUENOS AIRES,600.0,16300,"(400, 800]"
2024,2,BUENOS AIRES,25.0,42739,"(0, 400]"
2024,2,BUENOS AIRES,0.0,125547,
2024,2,BUENOS AIRES,80.0,9358,"(0, 400]"
2024,2,BUENOS AIRES,90.0,3,"(0, 400]"
2024,2,BUENOS AIRES,50.0,493790,"(0, 400]"
2024,2,BUENOS AIRES,5.0,27135,"(0, 400]"
2024,2,BUENOS AIRES,48.0,659,"(0, 400]"
2024,2,BUENOS AIRES,240.0,938,"(0, 400]"
2024,2,BUENOS AIRES,16.0,231,"(0, 400]"
2024,2,BUENOS AIRES,1000.0,129855,"(800, 1200]"
2024,2,BUENOS AIRES,51.0,1,"(0, 400]"
2024,2,BUENOS AIRES,160.0,1306,"(0, 400]"
2024,2,BUENOS AIRES,800.0,564,"(400, 800]"
2024,2,BUENOS AIRES,15.0,94642,"(0, 400]"
2024,2,BUENOS AIRES,49.0,1,"(0, 400]"
2024,2,BUENOS AIRES,300.0,1147130,"(0, 400]"
2024,2,BUENOS AIRES,1.5,141,"(0, 400]"
2024,2,BUENOS AIRES,150.0,388059,"(0, 400]"
2024,2,BUENOS AIRES,14.0,149,"(0, 400]"
2024,2,BUENOS AIRES,1.0,18423,"(0, 400]"
2024,2,BUENOS AIRES,0.5,25048,"(0, 400]"
2024,2,BUENOS AIRES,0.512,214,"(0, 400]"
2024,2,BUENOS AIRES,20.0,128376,"(0, 400]"
2024,2,BUENOS AIRES,100.0,910372,"(0, 400]"
2024,2,BUENOS AIRES,0.75,4611,"(0, 400]"
2024,2,BUENOS AIRES,7.0,11236,"(0, 400]"
2024,2,BUENOS AIRES,36.0,4,"(0, 400]"
2024,2,BUENOS AIRES,400.0,1094,"(0, 400]"
2024,2,BUENOS AIRES,3.0,44415,"(0, 400]"
2024,2,CABA,160.0,5,"(0, 400]"
2024,2,CABA,7.0,7,"(0, 400]"
2024,2,CABA,150.0,116134,"(0, 400]"
